tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt5902484,movie,Kaatru Veliyidai,Kaatru Veliyidai,0,2017,,146,Romance,5.8,2645,nm0711745,Hindi,"Heartwarming,Romantic"
tt9861884,tvSeries,Debt to the Sea,Dug moru,0,2019,,50,"Crime,Drama,Mystery",7.2,2125,nm0831207,Hindi,"Gritty,Mysterious,Intense"
tt2409642,movie,Ghetuputra Komola,Ghetuputra Komola,0,2012,,101,"Drama,Musical",7.5,2033,nm0014152,Bengali,"Thought-Provoking,Emotional,Uplifting"
tt11599576,movie,Juniper,Juniper,0,2021,,94,Drama,6.6,2309,nm2286906,Hindi,"Thought-Provoking,Emotional"
tt1224144,tvSeries,Reborn!,Katei Kyoshi Hitman Reborn!,0,2006,2010.0,100,"Action,Animation,Comedy",7.6,2001,nm1165282,Hindi,"Whimsical,Fun,Action-Packed"
tt8917248,tvSeries,Signs,Znaki,0,2018,,100,"Crime,Thriller",6.4,2351,nm2361839,Hindi,"Intense,Gritty,Suspenseful"
tt27612322,tvSeries,Missing: Dead or Alive?,Missing: Dead or Alive?,0,2023,,45,"Crime,Documentary",5.9,2547,nm14146153,Hindi,"Intense,Gritty,Educational"
tt3326054,tvSeries,Sniffer,Nyukhach,0,2013,2019.0,45,"Action,Crime,Drama",7.2,2087,nm3122044,Hindi,"Gritty,Action-Packed,Intense"
tt0357829,movie,Kalyanaraman,Kalyanaraman,0,2002,,126,"Comedy,Drama",7.9,1897,nm1167591,Malayalam,"Light-Hearted,Emotional,Thought-Provoking"
tt13129360,tvMiniSeries,Hemingway,Hemingway,0,2021,2021.0,40,"Biography,Documentary,History",8.1,1847,nm0122741,Hindi,"Inspiring,Educational"
tt13863968,movie,The Wisdom of Trauma,The Wisdom of Trauma,0,2021,,87,Documentary,8.0,1864,nm0070305,Hindi,Educational
tt8178958,movie,Generation Iron 3,Generation Iron 3,0,2018,,95,Documentary,5.8,2570,nm2852166,Hindi,Educational
tt5994306,tvSeries,Shopping King Louie,Shopingwang Looi,0,2016,2016.0,100,"Comedy,Romance",7.6,1956,nm6296913,Hindi,"Light-Hearted,Romantic,Heartwarming"
tt28513338,movie,Raktabeej,Raktabeej,0,2023,,142,Thriller,7.3,2035,nm1425585,Hindi,"Intense,Suspenseful"
tt24668540,movie,Ganaa,Ganaa,0,2023,,100,Crime,6.6,2239,nm14358104,Hindi,"Intense,Gritty"
tt5285050,movie,Pasanga 2,Pasanga 2,0,2015,,127,Drama,7.3,2015,nm4242010,Tamil,"Thought-Provoking,Emotional"
tt14959710,tvSeries,Hard Cell,Hard Cell,0,2022,2022.0,25,Comedy,6.4,2294,nm2889917,Hindi,"Light-Hearted,Fun"
tt3835608,movie,Oohalu Gusagusalade,Oohalu Gusagusalade,0,2014,,128,"Comedy,Romance",7.6,1926,nm4015380,Tamil,"Light-Hearted,Romantic,Heartwarming"
tt9020536,movie,Ejen Ali: The Movie,Ejen Ali the Movie,0,2019,,97,"Action,Adventure,Animation",8.0,1829,nm5728875,Hindi,"Whimsical,Fun,Action-Packed"
tt0119547,movie,Little Boy Blue,Little Boy Blue,0,1997,,105,Drama,6.2,2356,nm0862532,Hindi,"Thought-Provoking,Emotional"
tt12538822,movie,All In: The Fight for Democracy,All In: The Fight for Democracy,0,2020,,102,Documentary,6.9,2115,nm0181263,Hindi,Educational
tt0285940,movie,Raja Kumarudu,Raja Kumarudu,0,1999,,130,"Comedy,Drama,Romance",6.6,2211,nm0706484,Tamil,"Fun,Romantic,Light-Hearted"
tt6258050,tvMiniSeries,Sisters,Sisters,0,2017,2017.0,60,Drama,7.4,1971,nm1175458,Hindi,"Thought-Provoking,Emotional"
tt6768600,tvMiniSeries,DanMachi: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side - Sword Oratoria,Sword Oratoria: Dungeon ni deai o motomeru no wa machigatteiru no darô ka? Gaiden,0,2017,2017.0,25,"Action,Adventure,Animation",7.1,2047,nm2171474,Hindi,"Whimsical,Fun,Action-Packed"
tt11187454,tvSeries,Trickster,Trickster,0,2020,2020.0,60,"Drama,Fantasy,Mystery",6.8,2134,nm1005753,Hindi,"Magical,Mysterious,Thought-Provoking"
